id,CGPA,Academic Pressure,Work Pressure,Study Satisfaction,Job Satisfaction,Work/Study Hours
277,6.1,2.0,0.0,4.0,0.0,10.0
280,5.24,1.0,0.0,3.0,0.0,2.0
285,9.21,4.0,0.0,1.0,0.0,10.0
294,7.85,1.0,0.0,4.0,0.0,12.0
301,9.93,1.0,0.0,1.0,0.0,10.0
303,6.95,2.0,0.0,2.0,0.0,2.0
305,5.86,1.0,0.0,3.0,0.0,1.0
310,7.04,3.0,0.0,3.0,0.0,1.0
312,6.99,5.0,0.0,5.0,0.0,0.0
315,7.92,3.0,0.0,3.0,0.0,10.0
316,9.66,5.0,0.0,1.0,0.0,12.0
324,5.7,3.0,0.0,5.0,0.0,11.0
328,8.94,4.0,0.0,1.0,0.0,12.0
335,8.04,2.0,0.0,3.0,0.0,8.0
336,9.71,1.0,0.0,1.0,0.0,5.0
337,8.04,3.0,0.0,2.0,0.0,7.0
340,7.87,5.0,0.0,1.0,0.0,11.0
343,5.74,5.0,0.0,1.0,0.0,11.0
347,5.6,3.0,0.0,1.0,0.0,9.0
348,9.21,5.0,0.0,1.0,0.0,7.0
351,7.9,4.0,0.0,3.0,0.0,3.0
367,5.46,3.0,0.0,4.0,0.0,10.0
370,6.79,1.0,0.0,5.0,0.0,0.0
381,8.7,5.0,0.0,4.0,0.0,4.0
385,7.38,2.0,0.0,5.0,0.0,2.0
392,8.5,1.0,0.0,3.0,0.0,11.0
398,7.09,2.0,0.0,4.0,0.0,11.0
407,9.82,3.0,0.0,3.0,0.0,12.0
408,8.89,1.0,0.0,4.0,0.0,10.0
414,7.94,5.0,0.0,3.0,0.0,8.0
420,9.11,3.0,0.0,5.0,0.0,5.0
421,6.75,3.0,0.0,4.0,0.0,6.0
423,7.53,1.0,0.0,4.0,0.0,7.0
425,9.49,3.0,0.0,5.0,0.0,9.0
429,9.01,1.0,0.0,4.0,0.0,3.0
441,7.64,2.0,0.0,1.0,0.0,0.0
447,5.27,5.0,0.0,1.0,0.0,6.0
454,8.74,5.0,0.0,2.0,0.0,8.0
455,6.0,5.0,0.0,2.0,0.0,0.0
457,9.44,2.0,0.0,1.0,0.0,7.0
464,5.75,2.0,0.0,3.0,0.0,5.0
467,7.51,1.0,0.0,2.0,0.0,7.0
475,6.37,2.0,0.0,1.0,0.0,4.0
477,6.95,4.0,0.0,4.0,0.0,12.0
484,7.1,1.0,0.0,5.0,0.0,6.0
487,9.66,1.0,0.0,4.0,0.0,12.0
491,9.05,3.0,0.0,1.0,0.0,1.0
494,6.38,3.0,0.0,3.0,0.0,11.0
503,8.5,2.0,0.0,5.0,0.0,1.0
508,7.09,2.0,0.0,4.0,0.0,8.0
509,8.97,1.0,0.0,2.0,0.0,3.0
510,8.95,3.0,0.0,1.0,0.0,4.0
522,9.88,2.0,0.0,4.0,0.0,0.0
523,6.75,4.0,0.0,1.0,0.0,10.0
525,5.32,3.0,0.0,3.0,0.0,7.0
529,6.27,4.0,0.0,4.0,0.0,10.0
530,7.7,3.0,0.0,2.0,0.0,11.0
534,9.66,3.0,0.0,1.0,0.0,9.0
535,8.1,5.0,0.0,1.0,0.0,9.0
538,9.59,4.0,0.0,2.0,0.0,11.0
539,8.96,5.0,0.0,1.0,0.0,12.0
541,7.51,2.0,0.0,5.0,0.0,7.0
543,5.32,5.0,0.0,1.0,0.0,11.0
556,8.95,1.0,0.0,3.0,0.0,10.0
580,8.5,1.0,0.0,3.0,0.0,10.0
587,5.51,2.0,0.0,5.0,0.0,12.0
589,7.43,4.0,0.0,2.0,0.0,6.0
592,8.79,2.0,0.0,1.0,0.0,8.0
594,9.95,2.0,0.0,4.0,0.0,0.0
595,9.79,5.0,0.0,5.0,0.0,10.0
598,5.37,5.0,0.0,4.0,0.0,12.0
608,6.86,3.0,0.0,4.0,0.0,12.0
609,7.83,5.0,0.0,1.0,0.0,11.0
611,8.32,2.0,0.0,1.0,0.0,12.0
617,5.51,3.0,0.0,2.0,0.0,7.0
620,9.74,3.0,0.0,1.0,0.0,5.0
623,5.66,5.0,0.0,1.0,0.0,11.0
626,7.48,3.0,0.0,4.0,0.0,10.0
632,8.89,4.0,0.0,3.0,0.0,6.0
658,8.23,5.0,0.0,2.0,0.0,4.0
660,8.81,5.0,0.0,1.0,0.0,8.0
662,6.03,5.0,0.0,4.0,0.0,11.0
668,9.44,5.0,0.0,4.0,0.0,3.0
671,7.25,3.0,0.0,3.0,0.0,9.0
673,5.56,1.0,0.0,1.0,0.0,9.0
676,5.68,3.0,0.0,1.0,0.0,10.0
681,5.14,3.0,0.0,3.0,0.0,12.0
683,7.61,3.0,0.0,2.0,0.0,3.0
687,6.17,1.0,0.0,4.0,0.0,10.0
688,8.17,2.0,0.0,3.0,0.0,7.0
695,9.87,5.0,0.0,5.0,0.0,12.0
696,9.86,3.0,0.0,4.0,0.0,9.0
697,9.21,2.0,0.0,3.0,0.0,0.0
701,5.46,3.0,0.0,4.0,0.0,11.0
707,8.96,5.0,0.0,2.0,0.0,1.0
708,7.94,2.0,0.0,2.0,0.0,2.0
709,8.58,2.0,0.0,4.0,0.0,10.0
710,8.5,3.0,0.0,1.0,0.0,3.0
712,8.74,3.0,0.0,5.0,0.0,6.0
713,5.14,1.0,0.0,5.0,0.0,12.0
714,8.75,3.0,0.0,5.0,0.0,10.0
716,9.71,1.0,0.0,4.0,0.0,1.0
724,7.25,4.0,0.0,3.0,0.0,1.0
728,6.16,1.0,0.0,4.0,0.0,10.0
733,9.5,1.0,0.0,2.0,0.0,9.0
735,7.99,4.0,0.0,2.0,0.0,10.0
737,9.86,3.0,0.0,2.0,0.0,9.0
744,5.67,5.0,0.0,3.0,0.0,4.0
746,8.92,4.0,0.0,2.0,0.0,8.0
749,6.19,2.0,0.0,5.0,0.0,12.0
750,5.76,4.0,0.0,1.0,0.0,9.0
754,5.9,3.0,0.0,3.0,0.0,3.0
758,5.74,1.0,0.0,2.0,0.0,11.0
759,8.04,3.0,0.0,2.0,0.0,9.0
763,6.25,5.0,0.0,2.0,0.0,9.0
764,5.11,5.0,0.0,4.0,0.0,11.0
770,7.94,4.0,0.0,3.0,0.0,12.0
774,5.58,4.0,0.0,5.0,0.0,4.0
777,5.65,1.0,0.0,5.0,0.0,12.0
779,9.72,5.0,0.0,1.0,0.0,11.0
781,9.89,1.0,0.0,1.0,0.0,12.0
785,5.37,5.0,0.0,4.0,0.0,9.0
793,5.59,3.0,0.0,4.0,0.0,6.0
796,5.37,5.0,0.0,3.0,0.0,10.0
804,5.7,5.0,0.0,5.0,0.0,5.0
811,8.95,2.0,0.0,4.0,0.0,2.0
813,8.74,3.0,0.0,2.0,0.0,0.0
814,8.03,1.0,0.0,3.0,0.0,4.0
821,5.75,5.0,0.0,1.0,0.0,11.0
823,6.61,3.0,0.0,5.0,0.0,12.0
825,9.41,2.0,0.0,4.0,0.0,11.0
831,5.68,1.0,0.0,4.0,0.0,8.0
832,8.64,2.0,0.0,3.0,0.0,4.0
836,7.21,3.0,0.0,5.0,0.0,8.0
839,7.92,4.0,0.0,2.0,0.0,7.0
843,5.74,5.0,0.0,2.0,0.0,2.0
847,8.28,4.0,0.0,1.0,0.0,10.0
852,8.59,3.0,0.0,2.0,0.0,8.0
854,6.04,3.0,0.0,4.0,0.0,8.0
861,9.13,1.0,0.0,2.0,0.0,4.0
862,8.08,5.0,0.0,4.0,0.0,9.0
863,8.5,2.0,0.0,1.0,0.0,8.0
875,8.38,4.0,0.0,5.0,0.0,12.0
877,9.44,4.0,0.0,4.0,0.0,10.0
882,9.96,1.0,0.0,5.0,0.0,6.0
897,8.04,4.0,0.0,4.0,0.0,11.0
907,5.12,1.0,0.0,5.0,0.0,7.0
910,7.64,1.0,0.0,3.0,0.0,11.0
912,8.04,5.0,0.0,1.0,0.0,5.0
918,9.44,3.0,0.0,5.0,0.0,11.0
923,8.35,4.0,0.0,5.0,0.0,11.0
926,7.07,3.0,0.0,5.0,0.0,7.0
935,9.6,1.0,0.0,3.0,0.0,8.0
941,6.08,4.0,0.0,1.0,0.0,7.0
947,9.54,2.0,0.0,3.0,0.0,11.0
949,6.17,5.0,0.0,2.0,0.0,7.0
953,9.95,2.0,0.0,1.0,0.0,10.0
955,9.05,5.0,0.0,2.0,0.0,8.0
956,9.24,4.0,0.0,2.0,0.0,7.0
965,8.54,1.0,0.0,3.0,0.0,12.0
978,6.51,5.0,0.0,4.0,0.0,7.0
984,7.25,1.0,0.0,5.0,0.0,9.0
991,8.78,5.0,0.0,1.0,0.0,6.0
995,9.71,1.0,0.0,1.0,0.0,2.0
997,8.13,1.0,0.0,1.0,0.0,10.0
1003,8.93,2.0,0.0,2.0,0.0,10.0
1006,9.66,5.0,0.0,1.0,0.0,4.0
1012,5.56,4.0,0.0,2.0,0.0,8.0
1015,8.91,3.0,0.0,1.0,0.0,7.0
1022,6.16,3.0,0.0,5.0,0.0,5.0
1029,9.04,4.0,0.0,2.0,0.0,2.0
1032,6.83,3.0,0.0,1.0,0.0,4.0
1047,7.7,5.0,0.0,1.0,0.0,9.0
1049,5.67,3.0,0.0,2.0,0.0,12.0
1054,6.51,1.0,0.0,3.0,0.0,7.0
1055,6.21,1.0,0.0,5.0,0.0,6.0
1065,8.28,4.0,0.0,3.0,0.0,10.0
1069,9.74,1.0,0.0,3.0,0.0,12.0
1075,9.6,5.0,0.0,5.0,0.0,12.0
1079,6.25,2.0,0.0,3.0,0.0,2.0
1084,7.1,3.0,0.0,4.0,0.0,6.0
1087,5.85,3.0,0.0,2.0,0.0,8.0
1091,9.24,2.0,0.0,5.0,0.0,4.0
1093,7.74,4.0,0.0,1.0,0.0,0.0
1094,6.41,3.0,0.0,3.0,0.0,9.0
1105,7.1,5.0,0.0,2.0,0.0,2.0
1108,8.9,5.0,0.0,3.0,0.0,4.0
1117,9.6,3.0,0.0,4.0,0.0,12.0
1126,5.88,2.0,0.0,3.0,0.0,0.0
1130,6.16,1.0,0.0,3.0,0.0,5.0
1131,9.72,1.0,0.0,5.0,0.0,4.0
1134,6.19,5.0,0.0,1.0,0.0,4.0
1148,7.75,5.0,0.0,1.0,0.0,10.0
1152,7.88,3.0,0.0,1.0,0.0,10.0
1154,6.83,1.0,0.0,3.0,0.0,12.0
1156,5.42,5.0,0.0,5.0,0.0,9.0
1158,7.52,5.0,0.0,5.0,0.0,12.0
1165,7.68,2.0,0.0,5.0,0.0,5.0
1168,5.85,1.0,0.0,4.0,0.0,5.0
1170,7.88,5.0,0.0,3.0,0.0,1.0
1177,8.4,3.0,0.0,4.0,0.0,1.0
1179,8.95,5.0,0.0,3.0,0.0,7.0
1186,8.9,5.0,0.0,2.0,0.0,6.0
1187,7.64,5.0,0.0,1.0,0.0,10.0
1197,9.39,2.0,0.0,4.0,0.0,0.0
1201,6.84,1.0,0.0,2.0,0.0,7.0
1213,5.11,3.0,0.0,2.0,0.0,6.0
1215,8.04,2.0,0.0,3.0,0.0,2.0
1221,8.64,2.0,0.0,4.0,0.0,1.0
1222,5.99,2.0,0.0,1.0,0.0,11.0
1225,8.59,4.0,0.0,2.0,0.0,8.0
1232,9.39,2.0,0.0,2.0,0.0,8.0
1240,6.99,3.0,0.0,1.0,0.0,7.0
1241,6.83,5.0,0.0,4.0,0.0,10.0
1244,7.09,1.0,0.0,3.0,0.0,6.0
1252,8.62,2.0,0.0,4.0,0.0,0.0
1254,9.54,4.0,0.0,2.0,0.0,5.0
1255,8.53,4.0,0.0,3.0,0.0,2.0
1263,7.1,3.0,0.0,3.0,0.0,4.0
1275,7.47,1.0,0.0,1.0,0.0,12.0
1278,9.93,3.0,0.0,3.0,0.0,12.0
1286,6.78,5.0,0.0,5.0,0.0,7.0
1296,9.59,4.0,0.0,3.0,0.0,11.0
1301,9.93,3.0,0.0,1.0,0.0,9.0
1305,7.52,1.0,0.0,4.0,0.0,0.0
1307,6.42,3.0,0.0,2.0,0.0,4.0
1319,8.35,5.0,0.0,1.0,0.0,12.0
1324,6.08,2.0,0.0,4.0,0.0,6.0
1328,7.1,3.0,0.0,1.0,0.0,11.0
1329,9.95,3.0,0.0,4.0,0.0,10.0
1334,9.74,3.0,0.0,5.0,0.0,11.0
1336,9.92,2.0,0.0,3.0,0.0,3.0
1347,8.39,3.0,0.0,3.0,0.0,5.0
1348,8.96,5.0,0.0,4.0,0.0,11.0
1355,8.95,4.0,0.0,4.0,0.0,7.0
1360,5.89,2.0,0.0,2.0,0.0,10.0
1361,5.76,3.0,0.0,4.0,0.0,10.0
1369,6.0,4.0,0.0,5.0,0.0,10.0
1370,5.58,4.0,0.0,4.0,0.0,4.0
1373,7.22,4.0,0.0,5.0,0.0,10.0
1379,6.81,5.0,0.0,2.0,0.0,10.0
1381,9.02,3.0,0.0,5.0,0.0,8.0
1384,8.23,2.0,0.0,2.0,0.0,0.0
1391,9.88,4.0,0.0,1.0,0.0,7.0
1393,7.52,4.0,0.0,1.0,0.0,9.0
1396,9.11,4.0,0.0,4.0,0.0,7.0
1399,9.54,2.0,0.0,4.0,0.0,9.0
1403,8.58,2.0,0.0,4.0,0.0,9.0
1411,9.6,5.0,0.0,4.0,0.0,8.0
1417,9.54,2.0,0.0,3.0,0.0,10.0
1425,9.97,1.0,0.0,5.0,0.0,0.0
1428,9.63,3.0,0.0,3.0,3.0,8.0
1431,8.95,2.0,0.0,5.0,0.0,5.0
1432,9.39,5.0,0.0,5.0,0.0,1.0
1439,5.7,2.0,0.0,5.0,0.0,11.0
1444,7.7,5.0,0.0,5.0,0.0,12.0
1450,9.67,1.0,0.0,3.0,0.0,1.0
1453,9.41,4.0,0.0,2.0,0.0,12.0
1457,8.35,5.0,0.0,1.0,0.0,12.0
1464,6.78,4.0,0.0,3.0,0.0,10.0
1467,6.37,4.0,0.0,2.0,0.0,11.0
1472,5.64,2.0,0.0,1.0,0.0,12.0
1474,6.99,3.0,0.0,4.0,0.0,9.0
1475,5.41,3.0,0.0,3.0,0.0,7.0
1484,6.41,5.0,0.0,3.0,0.0,10.0
1488,7.27,3.0,0.0,3.0,0.0,12.0
1493,5.32,5.0,0.0,2.0,0.0,3.0
1494,5.99,5.0,0.0,3.0,0.0,4.0
1498,9.93,3.0,0.0,2.0,0.0,2.0
1499,8.7,5.0,0.0,4.0,0.0,5.0
1501,8.5,3.0,0.0,2.0,0.0,10.0
1512,9.44,2.0,0.0,3.0,0.0,4.0
1513,6.05,1.0,0.0,3.0,0.0,7.0
1515,9.6,5.0,0.0,2.0,0.0,12.0
1526,8.7,1.0,0.0,4.0,0.0,7.0
1528,6.85,1.0,0.0,4.0,0.0,0.0
1529,9.33,4.0,0.0,4.0,0.0,9.0
1535,7.25,5.0,0.0,4.0,0.0,12.0
1536,5.81,4.0,0.0,5.0,0.0,12.0
1545,8.17,4.0,0.0,3.0,0.0,11.0
1565,6.03,4.0,0.0,3.0,0.0,4.0
1580,5.56,5.0,0.0,2.0,0.0,11.0
1582,6.78,1.0,0.0,4.0,0.0,2.0
1586,6.53,4.0,0.0,3.0,0.0,6.0
1589,5.12,3.0,0.0,5.0,0.0,9.0
1591,5.74,2.0,0.0,4.0,0.0,10.0
1593,6.16,3.0,0.0,1.0,0.0,5.0
1600,5.98,2.0,0.0,3.0,0.0,2.0
1605,9.05,3.0,0.0,1.0,0.0,2.0
1609,6.78,3.0,0.0,2.0,0.0,12.0
1616,8.04,4.0,0.0,3.0,0.0,10.0
1618,7.38,5.0,0.0,1.0,0.0,10.0
1623,5.85,3.0,0.0,2.0,0.0,12.0
1629,8.04,5.0,0.0,2.0,0.0,3.0
1632,8.39,1.0,0.0,5.0,0.0,10.0
1643,6.02,4.0,0.0,1.0,0.0,10.0
1647,6.74,5.0,0.0,4.0,0.0,7.0
1655,5.26,3.0,0.0,1.0,0.0,8.0
1657,6.16,5.0,0.0,1.0,0.0,8.0
1659,5.75,4.0,0.0,2.0,0.0,4.0
1662,9.11,4.0,0.0,4.0,0.0,9.0
1669,8.9,5.0,0.0,4.0,0.0,7.0
1675,7.04,5.0,0.0,4.0,0.0,12.0
1677,5.74,5.0,0.0,5.0,0.0,4.0
1682,7.72,4.0,0.0,4.0,0.0,4.0
1683,5.64,5.0,0.0,4.0,0.0,6.0
1686,5.66,3.0,0.0,4.0,0.0,6.0
1701,7.09,4.0,0.0,1.0,0.0,10.0
1705,7.52,4.0,0.0,5.0,0.0,11.0
1709,8.96,3.0,0.0,2.0,0.0,4.0
1746,7.39,1.0,0.0,3.0,0.0,3.0
1747,5.6,1.0,0.0,4.0,0.0,3.0
1750,5.64,3.0,0.0,3.0,0.0,7.0
1756,9.04,1.0,0.0,4.0,0.0,10.0
1760,8.04,5.0,0.0,3.0,0.0,6.0
1762,8.43,4.0,0.0,1.0,0.0,4.0
1769,9.34,1.0,0.0,2.0,0.0,9.0
1770,8.78,3.0,0.0,2.0,0.0,10.0
1782,5.88,4.0,0.0,5.0,0.0,3.0
1795,6.27,5.0,0.0,5.0,0.0,10.0
1801,7.88,2.0,0.0,3.0,0.0,9.0
1802,5.44,3.0,0.0,5.0,0.0,11.0
1803,8.52,2.0,0.0,5.0,0.0,10.0
1809,6.03,3.0,0.0,3.0,0.0,7.0
1812,9.6,2.0,0.0,4.0,0.0,5.0
1813,8.9,2.0,0.0,3.0,0.0,11.0
1822,7.48,1.0,0.0,3.0,0.0,2.0
1835,9.39,1.0,0.0,3.0,0.0,0.0
1843,7.1,4.0,0.0,3.0,0.0,9.0
1848,5.44,5.0,0.0,3.0,0.0,11.0
1850,6.37,1.0,0.0,1.0,0.0,8.0
1856,9.5,1.0,0.0,4.0,0.0,7.0
1857,5.82,1.0,0.0,4.0,0.0,0.0
1864,5.72,5.0,0.0,2.0,0.0,9.0
1871,5.64,4.0,0.0,4.0,0.0,10.0
1876,9.04,3.0,0.0,2.0,0.0,9.0
1877,8.19,5.0,0.0,4.0,0.0,11.0
1881,8.44,3.0,0.0,4.0,0.0,11.0
1891,5.67,3.0,0.0,4.0,0.0,11.0
1895,8.98,2.0,0.0,4.0,0.0,4.0
1897,9.44,3.0,0.0,5.0,0.0,2.0
1908,5.82,4.0,0.0,2.0,0.0,11.0
1911,8.04,4.0,0.0,3.0,0.0,6.0
1922,9.37,3.0,0.0,2.0,0.0,11.0
1925,5.59,3.0,0.0,2.0,0.0,9.0
1928,8.44,1.0,0.0,2.0,0.0,11.0
1930,6.99,3.0,0.0,5.0,0.0,8.0
1932,8.44,3.0,0.0,2.0,0.0,6.0
1944,6.86,3.0,0.0,4.0,0.0,11.0
1952,5.8,1.0,0.0,2.0,0.0,3.0
1960,5.75,3.0,0.0,4.0,0.0,8.0
1961,7.92,1.0,0.0,5.0,0.0,11.0
1965,6.78,3.0,0.0,4.0,0.0,9.0
1969,7.28,5.0,0.0,1.0,0.0,2.0
1970,7.6,5.0,0.0,2.0,0.0,5.0
1985,7.91,3.0,0.0,2.0,0.0,6.0
1988,9.17,5.0,0.0,3.0,0.0,6.0
1995,7.46,1.0,0.0,5.0,0.0,9.0
2002,8.9,5.0,0.0,4.0,0.0,8.0
2006,9.79,1.0,0.0,1.0,0.0,8.0
2007,7.53,2.0,0.0,3.0,0.0,3.0
2011,9.39,5.0,0.0,5.0,0.0,9.0
2012,5.37,4.0,0.0,4.0,0.0,5.0
2018,9.43,1.0,0.0,3.0,0.0,9.0
2024,9.49,1.0,0.0,4.0,0.0,0.0
2030,9.91,4.0,0.0,3.0,0.0,11.0
2035,7.88,3.0,0.0,5.0,0.0,11.0
2039,7.1,5.0,0.0,5.0,0.0,1.0
2040,9.36,5.0,0.0,4.0,0.0,11.0
2042,5.12,4.0,0.0,3.0,0.0,10.0
2045,5.88,3.0,0.0,3.0,0.0,2.0
2046,9.96,1.0,0.0,5.0,0.0,0.0
2051,5.16,4.0,0.0,2.0,0.0,11.0
2060,7.08,1.0,0.0,1.0,0.0,12.0
2063,9.26,1.0,0.0,4.0,0.0,6.0
2068,8.83,5.0,0.0,1.0,0.0,6.0
2078,10.0,3.0,0.0,3.0,0.0,10.0
2086,9.39,2.0,0.0,5.0,0.0,6.0
2088,9.87,3.0,0.0,3.0,0.0,12.0
2097,7.09,4.0,0.0,1.0,0.0,1.0
2104,8.04,3.0,0.0,4.0,0.0,7.0
2105,6.95,5.0,0.0,3.0,0.0,8.0
2108,8.58,3.0,0.0,1.0,0.0,9.0
2120,7.28,4.0,0.0,3.0,0.0,8.0
2127,6.21,4.0,0.0,1.0,0.0,10.0
2140,9.24,4.0,0.0,3.0,0.0,6.0
2143,8.59,3.0,0.0,3.0,0.0,1.0
2146,5.37,5.0,0.0,4.0,0.0,3.0
2147,5.74,1.0,0.0,1.0,0.0,8.0
2150,9.86,1.0,0.0,5.0,0.0,12.0
2161,9.21,1.0,0.0,5.0,0.0,8.0
2171,7.8,1.0,0.0,2.0,0.0,11.0
2182,8.35,2.0,0.0,2.0,0.0,6.0
2183,9.46,3.0,0.0,1.0,0.0,5.0
2198,5.82,1.0,0.0,4.0,0.0,10.0
2203,9.24,4.0,0.0,1.0,0.0,8.0
2204,7.47,2.0,0.0,5.0,0.0,5.0
2207,6.25,4.0,0.0,2.0,0.0,12.0
2211,6.63,2.0,0.0,4.0,0.0,7.0
2226,5.16,2.0,0.0,1.0,0.0,2.0
2233,7.24,5.0,0.0,4.0,0.0,5.0
2238,7.88,3.0,0.0,3.0,0.0,5.0
2250,7.04,3.0,0.0,4.0,0.0,11.0
2255,6.47,2.0,0.0,4.0,0.0,11.0
2256,9.74,3.0,0.0,3.0,0.0,2.0
2260,6.63,3.0,0.0,3.0,0.0,11.0
2267,8.95,1.0,0.0,2.0,0.0,7.0
2270,9.26,3.0,0.0,3.0,0.0,2.0
2288,8.35,5.0,0.0,2.0,0.0,6.0
2290,8.17,3.0,0.0,3.0,0.0,2.0
2293,9.87,1.0,0.0,3.0,0.0,2.0
2294,7.25,3.0,0.0,1.0,0.0,9.0
2295,7.77,4.0,0.0,1.0,0.0,6.0
2305,5.06,4.0,0.0,5.0,0.0,0.0
2310,6.04,5.0,0.0,2.0,0.0,2.0
2312,7.21,2.0,0.0,3.0,0.0,11.0
2314,6.83,3.0,0.0,5.0,0.0,8.0
2322,7.17,5.0,0.0,2.0,0.0,2.0
2325,8.24,5.0,0.0,2.0,0.0,3.0
2330,8.97,5.0,0.0,2.0,0.0,1.0
2343,5.74,1.0,0.0,1.0,0.0,10.0
2348,6.88,5.0,0.0,5.0,0.0,12.0
2351,7.77,3.0,0.0,3.0,0.0,5.0
2358,9.54,1.0,0.0,4.0,0.0,2.0
2364,9.03,1.0,0.0,5.0,0.0,1.0
2372,9.96,3.0,0.0,2.0,0.0,10.0
2376,9.72,3.0,0.0,4.0,0.0,9.0
2385,6.51,4.0,0.0,1.0,0.0,0.0
2399,7.52,4.0,0.0,1.0,0.0,7.0
2405,7.25,2.0,0.0,4.0,0.0,12.0
2406,7.51,4.0,0.0,1.0,0.0,11.0
2407,6.04,3.0,0.0,4.0,0.0,4.0
2408,7.51,5.0,0.0,3.0,0.0,9.0
2418,7.6,1.0,0.0,3.0,0.0,11.0
2423,6.78,5.0,0.0,1.0,0.0,10.0
2425,5.08,3.0,0.0,4.0,0.0,10.0
2431,5.56,4.0,0.0,1.0,0.0,0.0
2432,5.45,5.0,0.0,2.0,0.0,5.0
2439,9.96,4.0,0.0,2.0,0.0,2.0
2444,9.39,5.0,0.0,5.0,0.0,12.0
2460,7.88,4.0,0.0,1.0,0.0,0.0
2461,5.74,1.0,0.0,2.0,0.0,10.0
2471,9.72,4.0,0.0,1.0,0.0,12.0
2474,8.08,3.0,0.0,5.0,0.0,5.0
2482,5.64,2.0,0.0,1.0,0.0,10.0
2486,8.04,4.0,0.0,5.0,0.0,1.0
2490,8.95,5.0,0.0,5.0,0.0,8.0
2494,8.46,3.0,0.0,5.0,0.0,12.0
2496,6.83,5.0,0.0,2.0,0.0,7.0
2500,8.91,4.0,0.0,5.0,0.0,0.0
2548,9.71,1.0,0.0,2.0,0.0,3.0
2564,6.99,4.0,0.0,2.0,0.0,6.0
2568,6.0,2.0,0.0,5.0,0.0,12.0
2569,6.99,4.0,0.0,3.0,0.0,8.0
2574,9.37,1.0,0.0,3.0,0.0,11.0
2576,9.44,2.0,0.0,5.0,0.0,4.0
2581,7.53,4.0,0.0,2.0,0.0,8.0
2585,9.19,1.0,0.0,2.0,0.0,10.0
2589,6.51,5.0,0.0,2.0,0.0,10.0
2591,7.09,1.0,0.0,5.0,0.0,4.0
2592,6.51,1.0,0.0,1.0,0.0,12.0
2605,7.72,5.0,0.0,2.0,0.0,8.0
2608,6.36,5.0,0.0,5.0,0.0,11.0
2622,5.32,4.0,0.0,2.0,0.0,11.0
2629,8.35,3.0,0.0,2.0,0.0,9.0
2633,8.13,1.0,0.0,1.0,0.0,0.0
2652,8.73,5.0,0.0,5.0,0.0,4.0
2654,6.16,4.0,0.0,3.0,0.0,9.0
2660,8.9,2.0,0.0,2.0,0.0,4.0
2663,8.92,4.0,0.0,2.0,0.0,9.0
2672,7.51,4.0,0.0,4.0,0.0,6.0
2674,7.48,5.0,0.0,1.0,0.0,11.0
2681,7.11,3.0,0.0,4.0,0.0,4.0
2685,9.12,5.0,0.0,1.0,0.0,2.0
2687,9.4,3.0,0.0,1.0,0.0,0.0
2689,9.91,1.0,0.0,4.0,0.0,7.0
2695,9.24,4.0,0.0,1.0,0.0,2.0
2696,7.77,1.0,0.0,1.0,0.0,8.0
2704,7.1,4.0,0.0,3.0,0.0,8.0
2710,8.38,2.0,0.0,2.0,0.0,10.0
2712,5.37,4.0,0.0,5.0,0.0,12.0
