id,Sleep Duration,Dietary Habits,Financial Stress,Family History of Mental Illness
712,'Less than 5 hours',Unhealthy,2.0,No
713,'More than 8 hours',Moderate,2.0,No
714,'7-8 hours',Moderate,5.0,No
716,'Less than 5 hours',Moderate,1.0,No
724,'5-6 hours',Healthy,5.0,No
728,'Less than 5 hours',Moderate,4.0,No
733,'7-8 hours',Moderate,2.0,No
735,'5-6 hours',Unhealthy,2.0,Yes
737,'Less than 5 hours',Unhealthy,1.0,Yes
744,'Less than 5 hours',Moderate,1.0,No
746,'Less than 5 hours',Moderate,2.0,No
749,'5-6 hours',Healthy,3.0,Yes
750,'Less than 5 hours',Unhealthy,4.0,Yes
754,'Less than 5 hours',Moderate,1.0,No
758,'More than 8 hours',Moderate,1.0,No
759,'5-6 hours',Unhealthy,3.0,Yes
763,'5-6 hours',Unhealthy,3.0,No
764,'More than 8 hours',Unhealthy,5.0,No
770,'5-6 hours',Moderate,1.0,No
774,'Less than 5 hours',Healthy,3.0,Yes
777,'7-8 hours',Unhealthy,4.0,Yes
779,'5-6 hours',Healthy,2.0,No
781,'7-8 hours',Moderate,3.0,Yes
785,'More than 8 hours',Healthy,2.0,Yes
793,'Less than 5 hours',Healthy,5.0,Yes
796,'7-8 hours',Moderate,2.0,Yes
804,'7-8 hours',Healthy,3.0,Yes
811,'5-6 hours',Healthy,5.0,Yes
813,'7-8 hours',Unhealthy,4.0,Yes
814,'5-6 hours',Unhealthy,4.0,No
821,'7-8 hours',Healthy,4.0,No
823,'7-8 hours',Moderate,1.0,Yes
825,'7-8 hours',Moderate,1.0,Yes
831,'7-8 hours',Healthy,5.0,No
832,'More than 8 hours',Unhealthy,3.0,Yes
836,'Less than 5 hours',Moderate,3.0,Yes
839,'More than 8 hours',Moderate,2.0,No
843,'5-6 hours',Moderate,3.0,No
847,'Less than 5 hours',Moderate,3.0,No
852,'7-8 hours',Moderate,5.0,Yes
854,'7-8 hours',Moderate,2.0,Yes
861,'7-8 hours',Unhealthy,4.0,No
862,'More than 8 hours',Moderate,1.0,Yes
863,'More than 8 hours',Unhealthy,2.0,Yes
875,'Less than 5 hours',Moderate,2.0,No
877,'7-8 hours',Moderate,5.0,Yes
882,'Less than 5 hours',Healthy,4.0,Yes
897,'More than 8 hours',Healthy,4.0,Yes
907,'7-8 hours',Healthy,4.0,Yes
910,'Less than 5 hours',Moderate,4.0,No
912,'5-6 hours',Moderate,4.0,Yes
918,'7-8 hours',Unhealthy,5.0,No
923,'7-8 hours',Unhealthy,2.0,Yes
926,'5-6 hours',Moderate,1.0,Yes
935,'More than 8 hours',Healthy,3.0,Yes
941,'7-8 hours',Moderate,1.0,No
947,'7-8 hours',Healthy,4.0,Yes
949,'More than 8 hours',Healthy,5.0,Yes
953,'More than 8 hours',Unhealthy,5.0,No
955,'7-8 hours',Healthy,4.0,Yes
956,'Less than 5 hours',Healthy,2.0,No
965,'Less than 5 hours',Moderate,1.0,Yes
978,'7-8 hours',Moderate,2.0,No
984,'7-8 hours',Unhealthy,5.0,Yes
991,'5-6 hours',Unhealthy,3.0,Yes
995,'More than 8 hours',Moderate,3.0,Yes
997,'Less than 5 hours',Unhealthy,1.0,Yes
1003,'5-6 hours',Unhealthy,5.0,Yes
1006,'5-6 hours',Unhealthy,4.0,No
1012,'Less than 5 hours',Unhealthy,4.0,No
1015,'Less than 5 hours',Unhealthy,1.0,No
1022,'7-8 hours',Moderate,4.0,Yes
1029,'7-8 hours',Moderate,1.0,No
1032,'Less than 5 hours',Healthy,5.0,No
1047,'7-8 hours',Unhealthy,3.0,No
1049,'More than 8 hours',Unhealthy,5.0,No
1054,'7-8 hours',Unhealthy,2.0,Yes
1055,'More than 8 hours',Moderate,4.0,Yes
1065,'7-8 hours',Unhealthy,1.0,No
1069,'More than 8 hours',Moderate,1.0,No
1075,'7-8 hours',Healthy,3.0,No
1079,'5-6 hours',Unhealthy,1.0,No
1084,'More than 8 hours',Healthy,3.0,No
1087,'7-8 hours',Unhealthy,5.0,Yes
1091,'7-8 hours',Moderate,4.0,No
1093,'Less than 5 hours',Moderate,5.0,Yes
1094,'7-8 hours',Moderate,5.0,No
1105,'7-8 hours',Healthy,2.0,Yes
1108,'Less than 5 hours',Moderate,5.0,Yes
1117,'Less than 5 hours',Healthy,3.0,Yes
1126,'Less than 5 hours',Healthy,2.0,No
1130,'Less than 5 hours',Moderate,2.0,Yes
1131,'Less than 5 hours',Moderate,5.0,Yes
1134,'7-8 hours',Moderate,2.0,No
1148,'5-6 hours',Healthy,4.0,Yes
1152,'More than 8 hours',Unhealthy,1.0,Yes
1154,'Less than 5 hours',Healthy,1.0,No
1156,'7-8 hours',Unhealthy,2.0,Yes
1158,'Less than 5 hours',Healthy,5.0,Yes
1165,'7-8 hours',Moderate,1.0,No
1168,'7-8 hours',Moderate,5.0,Yes
1170,'5-6 hours',Unhealthy,1.0,No
1177,'More than 8 hours',Healthy,2.0,Yes
1179,'Less than 5 hours',Moderate,1.0,No
1186,'Less than 5 hours',Moderate,5.0,Yes
1187,'Less than 5 hours',Unhealthy,4.0,No
1197,'5-6 hours',Unhealthy,2.0,Yes
1201,'Less than 5 hours',Moderate,1.0,Yes
1213,'Less than 5 hours',Unhealthy,3.0,Yes
1215,'7-8 hours',Moderate,1.0,Yes
1221,'Less than 5 hours',Unhealthy,4.0,No
1222,'5-6 hours',Unhealthy,2.0,Yes
1225,'5-6 hours',Unhealthy,5.0,No
1232,'5-6 hours',Moderate,1.0,No
1240,'5-6 hours',Healthy,1.0,No
1241,'7-8 hours',Healthy,1.0,Yes
1244,'5-6 hours',Moderate,1.0,Yes
1252,'More than 8 hours',Moderate,2.0,No
1254,'Less than 5 hours',Unhealthy,1.0,No
1255,'Less than 5 hours',Healthy,1.0,No
1263,'Less than 5 hours',Moderate,1.0,Yes
1275,'Less than 5 hours',Moderate,1.0,No
1278,'More than 8 hours',Healthy,2.0,No
1286,'More than 8 hours',Healthy,5.0,No
1296,'More than 8 hours',Moderate,4.0,Yes
1301,'7-8 hours',Moderate,5.0,No
1305,'Less than 5 hours',Moderate,2.0,No
1307,'5-6 hours',Moderate,5.0,Yes
1319,'More than 8 hours',Unhealthy,5.0,No
1324,'7-8 hours',Healthy,3.0,No
1328,'Less than 5 hours',Healthy,4.0,Yes
1329,'5-6 hours',Unhealthy,1.0,No
1334,'Less than 5 hours',Healthy,2.0,Yes
1336,'5-6 hours',Unhealthy,1.0,No
1347,'Less than 5 hours',Unhealthy,3.0,No
1348,'5-6 hours',Healthy,5.0,No
1355,'5-6 hours',Unhealthy,4.0,Yes
1360,'5-6 hours',Moderate,2.0,No
1361,'7-8 hours',Unhealthy,1.0,No
1369,'5-6 hours',Moderate,2.0,Yes
1370,'Less than 5 hours',Moderate,1.0,Yes
1373,'More than 8 hours',Healthy,2.0,No
1379,'7-8 hours',Unhealthy,2.0,Yes
1381,'7-8 hours',Moderate,1.0,Yes
1384,'More than 8 hours',Healthy,2.0,No
1391,'5-6 hours',Healthy,2.0,Yes
1393,'More than 8 hours',Unhealthy,4.0,Yes
1396,'5-6 hours',Moderate,1.0,Yes
1399,'7-8 hours',Healthy,1.0,No
1403,'Less than 5 hours',Healthy,3.0,No
1411,'7-8 hours',Moderate,3.0,No
1417,'More than 8 hours',Healthy,3.0,No
1425,'More than 8 hours',Moderate,5.0,No
1428,'7-8 hours',Moderate,5.0,No
1431,'Less than 5 hours',Moderate,1.0,No
1432,'Less than 5 hours',Moderate,1.0,Yes
1439,'Less than 5 hours',Unhealthy,4.0,Yes
1444,'5-6 hours',Moderate,2.0,Yes
1450,'Less than 5 hours',Unhealthy,5.0,No
1453,'More than 8 hours',Healthy,5.0,Yes
1457,'More than 8 hours',Healthy,4.0,Yes
1464,'Less than 5 hours',Unhealthy,2.0,No
1467,'Less than 5 hours',Moderate,5.0,Yes
1472,'Less than 5 hours',Moderate,4.0,Yes
1474,'More than 8 hours',Moderate,1.0,Yes
1475,'7-8 hours',Moderate,4.0,Yes
1484,'Less than 5 hours',Moderate,5.0,Yes
1488,'7-8 hours',Moderate,2.0,No
1493,'7-8 hours',Moderate,4.0,Yes
1494,'7-8 hours',Moderate,5.0,No
1498,'7-8 hours',Moderate,4.0,No
1499,'Less than 5 hours',Healthy,1.0,No
1501,'More than 8 hours',Healthy,1.0,Yes
1512,'5-6 hours',Moderate,2.0,Yes
1513,'7-8 hours',Moderate,1.0,No
1515,'5-6 hours',Moderate,3.0,Yes
1526,'Less than 5 hours',Unhealthy,3.0,No
1528,'More than 8 hours',Unhealthy,1.0,Yes
1529,'More than 8 hours',Moderate,2.0,No
1535,'Less than 5 hours',Moderate,2.0,Yes
1536,'7-8 hours',Unhealthy,2.0,Yes
1545,'7-8 hours',Healthy,4.0,No
1565,'7-8 hours',Unhealthy,2.0,Yes
1580,'7-8 hours',Unhealthy,3.0,Yes
1582,'Less than 5 hours',Unhealthy,1.0,Yes
1586,'5-6 hours',Moderate,1.0,No
1589,'More than 8 hours',Healthy,3.0,Yes
1591,'5-6 hours',Healthy,1.0,Yes
1593,'Less than 5 hours',Healthy,2.0,No
1600,'5-6 hours',Healthy,3.0,Yes
1605,'7-8 hours',Healthy,5.0,No
1609,'Less than 5 hours',Unhealthy,4.0,Yes
1616,'5-6 hours',Healthy,5.0,No
1618,'More than 8 hours',Unhealthy,5.0,No
1623,'7-8 hours',Healthy,1.0,Yes
1629,'Less than 5 hours',Healthy,2.0,No
1632,'Less than 5 hours',Unhealthy,1.0,No
1643,'5-6 hours',Moderate,4.0,Yes
1647,'7-8 hours',Moderate,5.0,No
1655,'More than 8 hours',Moderate,5.0,No
1657,'5-6 hours',Moderate,5.0,No
1659,'More than 8 hours',Healthy,3.0,No
1662,'5-6 hours',Unhealthy,5.0,Yes
1669,'7-8 hours',Unhealthy,5.0,Yes
1675,'7-8 hours',Moderate,5.0,No
1677,'More than 8 hours',Unhealthy,2.0,No
1682,'7-8 hours',Moderate,2.0,Yes
1683,'Less than 5 hours',Healthy,4.0,No
1686,'5-6 hours',Unhealthy,2.0,Yes
1701,'5-6 hours',Moderate,3.0,Yes
1705,'More than 8 hours',Moderate,3.0,Yes
1709,'5-6 hours',Healthy,2.0,Yes
1746,'5-6 hours',Moderate,1.0,Yes
1747,'Less than 5 hours',Moderate,3.0,No
1750,'7-8 hours',Unhealthy,5.0,No
1756,'5-6 hours',Healthy,1.0,No
1760,'Less than 5 hours',Unhealthy,4.0,No
1762,'7-8 hours',Unhealthy,2.0,No
1769,'Less than 5 hours',Moderate,3.0,Yes
1770,'Less than 5 hours',Moderate,4.0,Yes
1782,'More than 8 hours',Unhealthy,1.0,Yes
1795,'5-6 hours',Unhealthy,5.0,No
1801,'5-6 hours',Healthy,4.0,No
1802,'7-8 hours',Unhealthy,1.0,Yes
1803,'Less than 5 hours',Moderate,1.0,Yes
1809,'5-6 hours',Unhealthy,4.0,Yes
1812,'5-6 hours',Unhealthy,1.0,Yes
1813,'5-6 hours',Healthy,2.0,No
1822,'Less than 5 hours',Unhealthy,3.0,No
1835,'5-6 hours',Healthy,5.0,No
1843,'5-6 hours',Moderate,3.0,No
1848,'7-8 hours',Unhealthy,1.0,No
1850,'More than 8 hours',Moderate,2.0,No
1856,'More than 8 hours',Healthy,4.0,No
1857,'5-6 hours',Healthy,1.0,No
1864,'7-8 hours',Healthy,1.0,No
1871,'More than 8 hours',Moderate,1.0,Yes
1876,'Less than 5 hours',Moderate,5.0,No
1877,'More than 8 hours',Unhealthy,1.0,No
1881,'7-8 hours',Unhealthy,4.0,Yes
1891,'7-8 hours',Unhealthy,1.0,Yes
1895,'Less than 5 hours',Moderate,5.0,Yes
1897,'7-8 hours',Healthy,1.0,Yes
1908,'5-6 hours',Moderate,1.0,No
1911,'5-6 hours',Moderate,5.0,Yes
1922,'Less than 5 hours',Unhealthy,4.0,No
1925,'7-8 hours',Healthy,4.0,No
1928,'More than 8 hours',Unhealthy,3.0,Yes
1930,'7-8 hours',Unhealthy,3.0,No
1932,'Less than 5 hours',Moderate,2.0,No
1944,'5-6 hours',Unhealthy,2.0,Yes
1952,'More than 8 hours',Unhealthy,2.0,Yes
1960,'Less than 5 hours',Unhealthy,1.0,Yes
1961,'More than 8 hours',Moderate,5.0,No
1965,'More than 8 hours',Healthy,4.0,No
1969,'Less than 5 hours',Unhealthy,4.0,No
1970,'Less than 5 hours',Unhealthy,2.0,Yes
1985,'More than 8 hours',Healthy,5.0,No
1988,'Less than 5 hours',Moderate,1.0,No
1995,'More than 8 hours',Healthy,2.0,No
2002,'7-8 hours',Moderate,3.0,Yes
2006,'7-8 hours',Unhealthy,2.0,No
2007,'Less than 5 hours',Moderate,1.0,Yes
2011,'More than 8 hours',Unhealthy,5.0,Yes
2012,'5-6 hours',Moderate,1.0,No
2018,'Less than 5 hours',Unhealthy,1.0,No
2024,'7-8 hours',Healthy,5.0,No
2030,'5-6 hours',Moderate,1.0,No
2035,'7-8 hours',Unhealthy,2.0,No
2039,'5-6 hours',Unhealthy,2.0,No
2040,'Less than 5 hours',Healthy,5.0,No
2042,'Less than 5 hours',Healthy,4.0,Yes
2045,'7-8 hours',Healthy,4.0,Yes
2046,'5-6 hours',Moderate,4.0,Yes
2051,'7-8 hours',Unhealthy,2.0,No
2060,'More than 8 hours',Healthy,3.0,Yes
2063,'7-8 hours',Moderate,1.0,No
2068,'5-6 hours',Healthy,2.0,Yes
2078,'More than 8 hours',Unhealthy,3.0,Yes
2086,'7-8 hours',Unhealthy,1.0,Yes
2088,'7-8 hours',Healthy,5.0,No
2097,'7-8 hours',Healthy,4.0,Yes
2104,'5-6 hours',Healthy,2.0,No
2105,'Less than 5 hours',Moderate,1.0,Yes
2108,'7-8 hours',Healthy,2.0,Yes
2120,'Less than 5 hours',Moderate,5.0,No
2127,'7-8 hours',Moderate,4.0,Yes
2140,'Less than 5 hours',Healthy,2.0,No
2143,'Less than 5 hours',Healthy,2.0,Yes
2146,'Less than 5 hours',Healthy,5.0,No
2147,'5-6 hours',Moderate,5.0,No
2150,'7-8 hours',Unhealthy,5.0,Yes
2161,'Less than 5 hours',Healthy,1.0,No
2171,'Less than 5 hours',Unhealthy,1.0,No
2182,'Less than 5 hours',Unhealthy,1.0,Yes
2183,'Less than 5 hours',Unhealthy,5.0,No
2198,'5-6 hours',Healthy,3.0,Yes
2203,'Less than 5 hours',Unhealthy,2.0,Yes
2204,'7-8 hours',Healthy,1.0,No
2207,'Less than 5 hours',Unhealthy,4.0,Yes
2211,'More than 8 hours',Moderate,4.0,No
2226,'5-6 hours',Moderate,4.0,No
2233,'7-8 hours',Healthy,4.0,No
2238,'More than 8 hours',Healthy,1.0,No
2250,'7-8 hours',Unhealthy,3.0,No
2255,'7-8 hours',Moderate,3.0,Yes
2256,'7-8 hours',Moderate,4.0,Yes
2260,'5-6 hours',Moderate,4.0,Yes
2267,'More than 8 hours',Unhealthy,1.0,Yes
2270,'Less than 5 hours',Moderate,1.0,No
2288,'Less than 5 hours',Healthy,4.0,Yes
2290,'7-8 hours',Healthy,4.0,No
2293,'Less than 5 hours',Healthy,5.0,Yes
2294,'5-6 hours',Unhealthy,4.0,Yes
2295,'5-6 hours',Healthy,1.0,Yes
2305,'7-8 hours',Unhealthy,4.0,Yes
2310,'More than 8 hours',Unhealthy,5.0,Yes
2312,'More than 8 hours',Unhealthy,1.0,Yes
2314,'More than 8 hours',Unhealthy,3.0,No
2322,'5-6 hours',Unhealthy,5.0,No
2325,'Less than 5 hours',Moderate,5.0,Yes
2330,'Less than 5 hours',Moderate,5.0,Yes
2343,'More than 8 hours',Healthy,2.0,Yes
2348,'Less than 5 hours',Unhealthy,2.0,No
2351,'7-8 hours',Unhealthy,5.0,Yes
2358,'More than 8 hours',Moderate,1.0,No
2364,'7-8 hours',Moderate,3.0,No
2372,'7-8 hours',Unhealthy,4.0,No
2376,'7-8 hours',Moderate,3.0,Yes
2385,'More than 8 hours',Healthy,3.0,Yes
2399,'Less than 5 hours',Unhealthy,2.0,Yes
2405,'7-8 hours',Healthy,2.0,No
2406,'7-8 hours',Unhealthy,2.0,Yes
2407,'5-6 hours',Healthy,2.0,Yes
2408,'5-6 hours',Moderate,5.0,No
2418,'7-8 hours',Moderate,3.0,Yes
2423,'5-6 hours',Unhealthy,3.0,No
2425,'More than 8 hours',Moderate,3.0,No
2431,'More than 8 hours',Healthy,4.0,Yes
2432,'More than 8 hours',Unhealthy,5.0,No
2439,'Less than 5 hours',Healthy,5.0,No
2444,'Less than 5 hours',Moderate,1.0,No
2460,'Less than 5 hours',Moderate,5.0,No
2461,'More than 8 hours',Unhealthy,2.0,No
2471,'Less than 5 hours',Unhealthy,3.0,No
2474,'7-8 hours',Unhealthy,5.0,Yes
2482,'Less than 5 hours',Unhealthy,5.0,No
2486,'More than 8 hours',Unhealthy,2.0,Yes
2490,'7-8 hours',Unhealthy,2.0,No
2494,'Less than 5 hours',Moderate,3.0,No
2496,'Less than 5 hours',Unhealthy,2.0,Yes
2500,'7-8 hours',Moderate,2.0,No
2548,'5-6 hours',Moderate,4.0,Yes
2564,'More than 8 hours',Moderate,5.0,No
2568,'More than 8 hours',Unhealthy,5.0,Yes
2569,'Less than 5 hours',Unhealthy,5.0,Yes
2574,'7-8 hours',Healthy,2.0,Yes
2576,'7-8 hours',Moderate,2.0,Yes
2581,'Less than 5 hours',Moderate,1.0,Yes
2585,'7-8 hours',Moderate,3.0,Yes
2589,'Less than 5 hours',Unhealthy,3.0,No
2591,'More than 8 hours',Healthy,5.0,Yes
2592,'5-6 hours',Moderate,1.0,Yes
2605,'5-6 hours',Unhealthy,4.0,No
2608,'Less than 5 hours',Unhealthy,4.0,No
2622,'Less than 5 hours',Unhealthy,3.0,No
2629,'5-6 hours',Healthy,4.0,Yes
2633,'More than 8 hours',Unhealthy,5.0,No
2652,'7-8 hours',Unhealthy,3.0,No
2654,'Less than 5 hours',Moderate,5.0,No
2660,'5-6 hours',Moderate,4.0,No
2663,'5-6 hours',Unhealthy,3.0,No
2672,'More than 8 hours',Moderate,5.0,No
2674,'Less than 5 hours',Moderate,5.0,Yes
2681,'Less than 5 hours',Moderate,5.0,No
2685,'More than 8 hours',Healthy,3.0,No
2687,'Less than 5 hours',Moderate,3.0,No
2689,'More than 8 hours',Unhealthy,5.0,No
2695,'Less than 5 hours',Unhealthy,5.0,No
2696,'5-6 hours',Healthy,2.0,No
2704,'5-6 hours',Moderate,2.0,No
2710,'5-6 hours',Healthy,1.0,No
2712,'More than 8 hours',Moderate,3.0,Yes
2721,'Less than 5 hours',Unhealthy,2.0,Yes
2724,'7-8 hours',Unhealthy,1.0,No
2726,'Less than 5 hours',Moderate,4.0,No
2743,'5-6 hours',Healthy,5.0,No
2749,'7-8 hours',Moderate,2.0,Yes
2754,'Less than 5 hours',Unhealthy,3.0,Yes
2755,'7-8 hours',Moderate,4.0,Yes
2759,'Less than 5 hours',Moderate,5.0,Yes
2766,'7-8 hours',Unhealthy,3.0,No
2770,'More than 8 hours',Unhealthy,5.0,Yes
2772,'7-8 hours',Unhealthy,5.0,Yes
2774,'7-8 hours',Moderate,2.0,No
2777,'5-6 hours',Moderate,5.0,No
2779,'5-6 hours',Unhealthy,2.0,No
2780,'5-6 hours',Moderate,3.0,No
2781,'More than 8 hours',Moderate,3.0,No
2789,'7-8 hours',Healthy,5.0,Yes
2793,'More than 8 hours',Moderate,3.0,No
2797,'More than 8 hours',Unhealthy,3.0,Yes
2798,'5-6 hours',Moderate,1.0,Yes
2799,'7-8 hours',Moderate,3.0,Yes
2804,'Less than 5 hours',Unhealthy,5.0,Yes
2805,'Less than 5 hours',Healthy,5.0,Yes
2811,'Less than 5 hours',Healthy,5.0,No
2814,'7-8 hours',Healthy,2.0,No
2815,'7-8 hours',Moderate,1.0,Yes
2816,'5-6 hours',Moderate,4.0,No
2819,'Less than 5 hours',Healthy,5.0,Yes
2841,'More than 8 hours',Unhealthy,2.0,No
2850,'7-8 hours',Moderate,3.0,Yes
2854,'5-6 hours',Unhealthy,1.0,Yes
2858,'More than 8 hours',Moderate,3.0,Yes
2864,'5-6 hours',Unhealthy,4.0,Yes
2867,'Less than 5 hours',Moderate,1.0,No
2869,'More than 8 hours',Moderate,5.0,No
2871,'7-8 hours',Moderate,5.0,Yes
2875,'5-6 hours',Unhealthy,2.0,No
2881,'7-8 hours',Healthy,1.0,No
2886,'More than 8 hours',Moderate,2.0,Yes
2903,'5-6 hours',Unhealthy,5.0,No
2907,'Less than 5 hours',Unhealthy,3.0,Yes
2908,'More than 8 hours',Unhealthy,3.0,No
2916,'7-8 hours',Healthy,1.0,No
2918,'More than 8 hours',Moderate,1.0,Yes
2941,'Less than 5 hours',Unhealthy,5.0,Yes
2945,'7-8 hours',Healthy,5.0,No
2951,'Less than 5 hours',Unhealthy,5.0,No
2962,'5-6 hours',Moderate,5.0,Yes
2968,'Less than 5 hours',Moderate,2.0,No
2970,'More than 8 hours',Moderate,4.0,No
2974,'7-8 hours',Unhealthy,5.0,No
2977,'More than 8 hours',Healthy,3.0,No
2978,'Less than 5 hours',Unhealthy,3.0,No
2980,'Less than 5 hours',Unhealthy,2.0,Yes
