id,Gender,Age,City,Profession,Degree
294,Female,23.0,Chennai,Student,BE
301,Male,22.0,Lucknow,Student,B.Ed
303,Female,19.0,Meerut,Student,'Class 12'
305,Female,30.0,Hyderabad,Student,BSc
310,Male,21.0,Kalyan,Student,MSc
312,Female,19.0,Rajkot,Student,'Class 12'
315,Male,23.0,Kalyan,Student,B.Com
316,Female,23.0,Vasai-Virar,Student,BHM
324,Female,18.0,Vadodara,Student,'Class 12'
328,Male,28.0,Srinagar,Student,M.Pharm
335,Male,24.0,Hyderabad,Student,M.Tech
336,Female,33.0,Srinagar,Student,B.Com
337,Female,20.0,Kalyan,Student,'Class 12'
340,Male,23.0,Kalyan,Student,BSc
343,Male,23.0,Pune,Student,BA
347,Female,24.0,Ludhiana,Student,MBBS
348,Male,25.0,Jaipur,Student,BSc
351,Female,24.0,Bhopal,Student,MBBS
367,Female,24.0,Kolkata,Student,BSc
370,Male,31.0,Nashik,Student,MCA
381,Male,20.0,Thane,Student,'Class 12'
385,Male,21.0,Ludhiana,Student,MA
392,Male,25.0,Kanpur,Student,BA
398,Male,19.0,Mumbai,Student,'Class 12'
407,Female,34.0,Surat,Student,MSc
408,Male,24.0,Agra,Student,M.Tech
414,Male,33.0,Hyderabad,Student,B.Ed
420,Male,32.0,Patna,Student,MBBS
421,Male,18.0,Bhopal,Student,'Class 12'
423,Female,31.0,Indore,Student,M.Com
425,Female,25.0,Kalyan,Student,BHM
429,Male,20.0,Surat,Student,'Class 12'
441,Male,31.0,Ghaziabad,Student,MSc
447,Male,24.0,Surat,Student,MD
454,Male,24.0,Lucknow,Student,B.Pharm
455,Female,23.0,Rajkot,Student,MSc
457,Female,25.0,Varanasi,Student,BSc
464,Male,25.0,Srinagar,Student,BSc
467,Female,25.0,Ghaziabad,Student,B.Arch
475,Female,28.0,Kalyan,Student,BE
477,Female,20.0,Ahmedabad,Student,'Class 12'
484,Female,24.0,Faridabad,Student,LLM
487,Male,23.0,Ludhiana,Student,B.Tech
491,Male,19.0,Pune,Student,'Class 12'
494,Female,24.0,Hyderabad,Student,MCA
503,Female,34.0,Surat,Student,BSc
508,Female,25.0,Ghaziabad,Student,B.Arch
509,Male,28.0,Nashik,Student,BBA
510,Female,27.0,Bhopal,Student,BBA
522,Male,22.0,Pune,Student,BSc
523,Male,27.0,Kolkata,Student,BHM
525,Female,34.0,Hyderabad,Student,B.Tech
529,Male,22.0,Nagpur,Student,B.Com
530,Male,23.0,Lucknow,Student,M.Com
534,Male,24.0,Kalyan,Student,M.Pharm
535,Male,21.0,Delhi,Student,B.Arch
538,Male,26.0,Vasai-Virar,Student,BSc
539,Female,24.0,Kolkata,Student,BCA
541,Male,34.0,Kolkata,Student,MSc
543,Female,29.0,Agra,Student,ME
556,Male,33.0,Visakhapatnam,Student,MBBS
580,Male,21.0,Patna,Student,BCA
587,Female,33.0,Delhi,Student,BSc
589,Male,28.0,Lucknow,Student,MBA
592,Male,27.0,Jaipur,Student,MCA
594,Male,33.0,Meerut,Student,M.Tech
595,Female,18.0,Delhi,Student,'Class 12'
598,Female,20.0,Kolkata,Student,'Class 12'
608,Female,19.0,Mumbai,Student,'Class 12'
609,Male,21.0,Ahmedabad,'Civil Engineer',MSc
611,Male,32.0,Vasai-Virar,Student,B.Tech
617,Male,32.0,Delhi,Student,LLB
620,Male,33.0,Rajkot,Student,MD
623,Female,23.0,Bangalore,Student,MCA
626,Male,24.0,Kalyan,Student,M.Com
632,Female,20.0,Srinagar,Student,'Class 12'
658,Female,24.0,Ahmedabad,Student,B.Arch
660,Male,22.0,Chennai,Student,MCA
662,Male,26.0,Nashik,Student,BCA
668,Female,18.0,Vasai-Virar,Student,'Class 12'
671,Male,26.0,Vasai-Virar,Student,MD
673,Male,33.0,Lucknow,Student,MD
676,Female,19.0,Visakhapatnam,Student,'Class 12'
681,Male,26.0,Jaipur,Student,MSc
683,Female,34.0,Lucknow,Student,BE
687,Female,22.0,Pune,Student,BCA
688,Female,28.0,Surat,Student,B.Tech
695,Male,31.0,Lucknow,Student,LLB
696,Female,18.0,Varanasi,Student,'Class 12'
697,Male,32.0,Thane,Student,M.Tech
701,Female,19.0,Jaipur,Student,'Class 12'
707,Male,20.0,Mumbai,Student,'Class 12'
708,Male,28.0,Nagpur,Student,BCA
709,Male,19.0,Bhopal,Student,'Class 12'
710,Male,34.0,Pune,Student,B.Tech
712,Male,20.0,Vadodara,Student,'Class 12'
713,Male,18.0,Surat,Student,'Class 12'
714,Female,29.0,Patna,Student,BCA
716,Male,24.0,Kolkata,Student,M.Tech
724,Male,33.0,Jaipur,Student,BSc
728,Male,34.0,Nashik,Student,B.Tech
733,Female,29.0,Agra,Student,B.Com
735,Male,27.0,Lucknow,Student,B.Com
737,Female,31.0,Srinagar,Student,MD
744,Male,30.0,Ludhiana,Student,B.Tech
746,Female,31.0,Thane,Student,MA
749,Male,26.0,Rajkot,Student,B.Arch
750,Male,21.0,Patna,Student,B.Ed
754,Female,34.0,Lucknow,Student,B.Ed
758,Male,24.0,Mumbai,Student,B.Com
759,Male,21.0,Varanasi,Student,B.Com
763,Female,31.0,Nagpur,Student,B.Tech
764,Male,20.0,Lucknow,Student,'Class 12'
770,Male,34.0,Kanpur,Student,LLM
774,Female,30.0,Ludhiana,Student,M.Com
777,Male,30.0,Surat,Student,M.Ed
779,Male,20.0,Bangalore,Student,'Class 12'
781,Female,22.0,Jaipur,Student,B.Com
785,Male,18.0,Agra,Student,'Class 12'
793,Female,27.0,Pune,Student,PhD
796,Male,26.0,Meerut,Student,BE
804,Male,24.0,Ludhiana,Student,B.Pharm
811,Female,28.0,Vasai-Virar,Student,BSc
813,Female,24.0,Pune,Student,B.Arch
814,Female,32.0,Thane,Student,BA
821,Female,21.0,Patna,Student,MBBS
823,Male,19.0,Visakhapatnam,Student,'Class 12'
825,Female,24.0,Hyderabad,Student,M.Ed
831,Female,26.0,Ghaziabad,Student,B.Arch
832,Female,20.0,Srinagar,Student,'Class 12'
836,Male,19.0,Kanpur,Student,'Class 12'
839,Male,32.0,Hyderabad,Student,MBBS
843,Female,23.0,Bhopal,Student,B.Ed
847,Female,23.0,Vasai-Virar,Student,M.Tech
852,Male,29.0,Vasai-Virar,Student,MCA
854,Female,29.0,Ahmedabad,Student,B.Ed
861,Female,27.0,Srinagar,Student,MA
862,Female,33.0,Faridabad,Student,'Class 12'
863,Female,33.0,Patna,Student,MSc
875,Male,31.0,Faridabad,Student,LLB
877,Male,25.0,Nashik,Student,B.Ed
882,Female,29.0,Pune,Student,LLM
897,Female,18.0,Thane,Student,'Class 12'
907,Female,18.0,Vadodara,Student,'Class 12'
910,Male,22.0,Kolkata,Student,MSc
912,Male,24.0,Ghaziabad,Student,BSc
918,Male,24.0,Kolkata,Student,B.Ed
923,Male,30.0,Bhopal,Student,'Class 12'
926,Male,33.0,Srinagar,Student,PhD
935,Male,34.0,Kalyan,Student,M.Tech
941,Male,32.0,Bhopal,Student,MCA
947,Male,33.0,Kanpur,Student,MA
949,Female,20.0,Pune,Student,'Class 12'
953,Female,25.0,Agra,Student,B.Pharm
955,Male,24.0,Hyderabad,Student,B.Tech
956,Male,23.0,Agra,Student,B.Com
965,Female,30.0,Kolkata,Student,M.Ed
978,Female,39.0,Kalyan,Student,M.Tech
984,Male,22.0,Bangalore,Student,BE
991,Male,23.0,Patna,Student,B.Com
995,Male,31.0,Lucknow,Student,M.Tech
997,Male,20.0,Mumbai,Student,'Class 12'
1003,Male,20.0,Chennai,Student,'Class 12'
1006,Male,32.0,Kalyan,Student,BSc
1012,Female,22.0,Agra,Student,BHM
1015,Female,27.0,Jaipur,Student,BSc
1022,Female,18.0,Ahmedabad,Student,'Class 12'
1029,Female,28.0,Faridabad,Student,B.Com
1032,Female,22.0,Surat,Student,BCA
1047,Female,20.0,Chennai,Student,'Class 12'
1049,Male,20.0,Ludhiana,Student,'Class 12'
1054,Male,30.0,Indore,Student,BHM
1055,Male,18.0,Srinagar,Student,'Class 12'
1065,Female,26.0,Nashik,Student,MBBS
1069,Male,34.0,Patna,Student,B.Ed
1075,Male,20.0,Lucknow,Student,'Class 12'
1079,Male,20.0,Srinagar,Student,'Class 12'
1084,Female,33.0,Vadodara,Student,B.Pharm
1087,Female,20.0,Hyderabad,Student,'Class 12'
1091,Female,28.0,Kalyan,Student,M.Ed
1093,Female,26.0,Srinagar,Student,MCA
1094,Male,25.0,Vadodara,Student,M.Ed
1105,Female,28.0,Ahmedabad,Student,MBBS
1108,Female,29.0,Chennai,Student,BE
1117,Male,34.0,Lucknow,Student,M.Tech
1126,Female,29.0,Ghaziabad,Student,M.Com
1130,Female,28.0,Srinagar,Student,BHM
1131,Female,33.0,Vadodara,Student,BHM
1134,Male,18.0,Vasai-Virar,Student,'Class 12'
1148,Male,19.0,Ahmedabad,Student,'Class 12'
1152,Female,27.0,Kalyan,Student,BBA
1154,Female,29.0,Pune,Student,BE
1156,Female,18.0,Kolkata,Student,'Class 12'
1158,Male,27.0,Srinagar,Student,LLB
1165,Male,34.0,Kanpur,Student,'Class 12'
1168,Female,19.0,Patna,Student,'Class 12'
1170,Female,30.0,Thane,Student,B.Ed
1177,Female,25.0,Vasai-Virar,Student,BHM
1179,Female,20.0,Ludhiana,Student,'Class 12'
1186,Female,20.0,Vasai-Virar,Student,'Class 12'
1187,Female,20.0,Surat,Student,'Class 12'
1197,Female,29.0,Lucknow,Student,BSc
1201,Male,24.0,Mumbai,Student,B.Pharm
1213,Male,34.0,Hyderabad,Student,M.Pharm
1215,Male,31.0,Varanasi,Student,B.Ed
1221,Male,23.0,Rajkot,Student,M.Com
1222,Female,25.0,Vadodara,Student,BHM
1225,Female,24.0,Hyderabad,Student,B.Arch
1232,Female,25.0,Varanasi,Student,LLB
1240,Male,23.0,Agra,Student,B.Arch
1241,Male,21.0,Nagpur,Student,MCA
1244,Male,22.0,Thane,Student,MBA
1252,Male,33.0,Bhopal,Student,BCA
1254,Male,24.0,Kalyan,Student,MBA
1255,Female,25.0,Rajkot,Student,BA
1263,Male,33.0,Agra,Student,LLB
1275,Male,27.0,Kolkata,Student,BHM
1278,Female,31.0,Visakhapatnam,Student,B.Ed
1286,Female,19.0,Indore,Student,'Class 12'
1296,Male,29.0,Mumbai,Student,B.Ed
1301,Male,23.0,Kalyan,Student,MBA
1305,Male,25.0,Rajkot,Student,MBBS
1307,Male,34.0,Srinagar,Student,M.Pharm
1319,Male,18.0,Ahmedabad,Student,'Class 12'
1324,Male,29.0,Hyderabad,Student,MBA
1328,Female,25.0,Vasai-Virar,Student,MBBS
1329,Male,29.0,Srinagar,Student,LLB
1334,Male,28.0,Meerut,Student,MBBS
1336,Female,31.0,Faridabad,Student,B.Com
1347,Male,30.0,Surat,Student,M.Com
1348,Male,24.0,Ghaziabad,Student,LLM
1355,Male,26.0,Vadodara,Student,B.Ed
1360,Female,29.0,Visakhapatnam,Student,MCA
1361,Male,22.0,Ludhiana,Student,M.Com
1369,Female,31.0,Chennai,Student,M.Ed
1370,Female,29.0,Ahmedabad,Student,MBA
1373,Female,18.0,Mumbai,Student,'Class 12'
1379,Female,27.0,Vadodara,Student,M.Ed
1381,Male,32.0,Indore,Student,MBBS
1384,Male,30.0,Delhi,Student,MD
1391,Male,26.0,Agra,Student,BBA
1393,Male,28.0,Vadodara,Student,BE
1396,Male,28.0,Varanasi,Student,BHM
1399,Female,25.0,Vasai-Virar,Student,BHM
1403,Female,33.0,Pune,Student,'Class 12'
1411,Male,24.0,Kolkata,Student,M.Pharm
1417,Female,22.0,Varanasi,Student,BBA
1425,Male,34.0,Agra,Student,BCA
1428,Male,29.0,Srinagar,Student,M.Pharm
1431,Male,32.0,Nashik,Student,M.Tech
1432,Female,31.0,Visakhapatnam,Student,'Class 12'
1439,Male,28.0,Vasai-Virar,Student,BCA
1444,Male,30.0,Varanasi,Student,B.Com
1450,Female,26.0,Surat,Student,'Class 12'
1453,Male,19.0,Kolkata,Student,'Class 12'
1457,Female,21.0,Bangalore,Student,BSc
1464,Male,22.0,Thane,Student,B.Com
1467,Male,23.0,Thane,Student,B.Com
1472,Female,25.0,Varanasi,Student,B.Ed
1474,Female,24.0,Ghaziabad,Student,'Class 12'
1475,Female,18.0,Kolkata,Student,'Class 12'
1484,Female,19.0,Meerut,Student,'Class 12'
1488,Female,30.0,Lucknow,Student,BA
1493,Female,35.0,Meerut,Student,PhD
1494,Female,20.0,Chennai,Student,'Class 12'
1498,Male,20.0,Lucknow,Student,'Class 12'
1499,Female,18.0,Pune,Student,'Class 12'
1501,Female,18.0,Thane,Student,'Class 12'
1512,Female,30.0,Ghaziabad,Student,B.Arch
1513,Female,33.0,Ludhiana,Student,MBA
1515,Female,29.0,Vasai-Virar,Student,B.Arch
1526,Female,28.0,Srinagar,Student,MD
1528,Male,26.0,Rajkot,Student,BBA
1529,Male,22.0,Jaipur,Student,BCA
1535,Female,28.0,Varanasi,Student,BCA
1536,Male,32.0,Srinagar,Student,ME
1545,Female,31.0,Surat,Student,MCA
1565,Male,20.0,Rajkot,Student,'Class 12'
1580,Female,30.0,Ghaziabad,Student,MBBS
1582,Male,27.0,Lucknow,Student,B.Ed
1586,Male,26.0,Ahmedabad,Student,B.Pharm
1589,Male,34.0,Vasai-Virar,Student,LLM
1591,Female,20.0,Pune,Student,'Class 12'
1593,Male,22.0,Mumbai,Student,MSc
1600,Female,20.0,Ludhiana,Student,'Class 12'
1605,Female,27.0,Delhi,Student,LLB
1609,Female,25.0,Rajkot,Student,B.Ed
1616,Male,19.0,Delhi,Student,'Class 12'
1618,Male,29.0,Ludhiana,Student,BSc
1623,Female,18.0,Bangalore,Student,'Class 12'
1629,Female,21.0,Thane,Student,B.Ed
1632,Female,31.0,Hyderabad,Student,MCA
1643,Female,33.0,Kalyan,Student,M.Tech
1647,Male,33.0,Bangalore,Student,M.Tech
1655,Male,21.0,Bangalore,Student,B.Tech
1657,Female,21.0,Kalyan,Student,BBA
1659,Male,23.0,Ghaziabad,Student,MSc
1662,Male,20.0,Mumbai,Student,'Class 12'
1669,Female,20.0,Mumbai,Student,'Class 12'
1675,Female,20.0,Lucknow,Student,'Class 12'
1677,Male,20.0,Thane,Student,'Class 12'
1682,Female,33.0,Indore,Student,MHM
1683,Male,29.0,Visakhapatnam,Student,MSc
1686,Female,21.0,Bhopal,Student,BCA
1701,Male,28.0,Ludhiana,Student,BHM
1705,Female,25.0,Lucknow,Student,MD
1709,Female,22.0,Bhopal,Student,MSc
1746,Female,24.0,Rajkot,Student,B.Arch
1747,Male,19.0,Kolkata,Student,'Class 12'
1750,Male,32.0,Vasai-Virar,Student,ME
1756,Female,25.0,Vadodara,Student,B.Com
1760,Female,25.0,Bhopal,Student,B.Com
1762,Male,21.0,Jaipur,Student,BSc
1769,Female,28.0,Mumbai,Student,BBA
1770,Male,20.0,Faridabad,Student,'Class 12'
1782,Male,26.0,Rajkot,Student,BA
1795,Female,19.0,Lucknow,Student,'Class 12'
1801,Male,25.0,Kanpur,Student,M.Ed
1802,Female,33.0,Indore,Student,MHM
1803,Female,20.0,Ludhiana,Student,'Class 12'
1809,Male,22.0,Thane,Student,BA
1812,Male,26.0,Hyderabad,Student,B.Pharm
1813,Female,20.0,Chennai,Student,'Class 12'
1822,Male,23.0,Jaipur,Student,M.Tech
1835,Male,33.0,Jaipur,Student,BSc
1843,Female,20.0,Indore,Student,'Class 12'
1848,Female,29.0,Vasai-Virar,Student,LLM
1850,Male,33.0,Mumbai,Student,MCA
1856,Male,26.0,Agra,Student,MBBS
1857,Female,27.0,Surat,Student,B.Pharm
1864,Female,34.0,Varanasi,Student,M.Com
1871,Male,34.0,Kanpur,Student,M.Com
1876,Female,20.0,Indore,Student,'Class 12'
1877,Male,28.0,Ahmedabad,Student,B.Arch
1881,Male,28.0,Bhopal,Student,MBA
1891,Female,23.0,Kalyan,Student,MSc
1895,Female,34.0,Agra,Student,B.Tech
1897,Female,20.0,Rajkot,Student,'Class 12'
1908,Female,25.0,Hyderabad,Student,B.Arch
1911,Male,26.0,Bhopal,Student,LLM
1922,Male,18.0,Lucknow,Student,'Class 12'
1925,Female,24.0,Thane,Student,BCA
1928,Male,28.0,Lucknow,Student,B.Arch
1930,Male,34.0,Jaipur,Student,BCA
1932,Male,23.0,Nashik,Student,B.Ed
1944,Male,27.0,Bhopal,Student,BSc
1952,Female,19.0,Agra,Student,'Class 12'
1960,Male,32.0,Meerut,Student,B.Tech
1961,Female,20.0,Vadodara,Student,'Class 12'
1965,Male,25.0,Lucknow,Student,M.Pharm
1969,Female,24.0,Kolkata,Student,B.Com
1970,Female,22.0,Patna,Student,B.Ed
1985,Male,27.0,Ludhiana,Student,B.Arch
1988,Female,18.0,Patna,Student,'Class 12'
1995,Male,23.0,Rajkot,Student,M.Ed
2002,Female,29.0,Kolkata,Student,BSc
2006,Female,18.0,Bhopal,Student,'Class 12'
2007,Female,31.0,Indore,Student,MBBS
2011,Female,33.0,Meerut,Student,B.Com
2012,Male,33.0,Faridabad,Student,B.Ed
2018,Female,34.0,Meerut,Student,M.Com
2024,Male,28.0,Srinagar,Student,B.Pharm
2030,Male,20.0,Srinagar,Student,'Class 12'
2035,Male,25.0,Mumbai,Student,BSc
2039,Female,21.0,Kolkata,Student,BSc
2040,Female,29.0,Srinagar,Student,PhD
2042,Female,33.0,Faridabad,Student,LLM
2045,Female,33.0,Ludhiana,Student,B.Ed
2046,Female,21.0,Vasai-Virar,Student,B.Arch
2051,Female,29.0,Chennai,Student,BHM
2060,Male,31.0,Delhi,Student,B.Com
2063,Male,24.0,Bhopal,Student,MA
2068,Female,19.0,Varanasi,Student,'Class 12'
2078,Male,25.0,Patna,Student,BBA
2086,Male,27.0,Meerut,Student,MSc
2088,Female,31.0,Srinagar,Student,B.Ed
2097,Female,28.0,Visakhapatnam,Student,BE
2104,Male,34.0,Vasai-Virar,Student,MD
2105,Female,31.0,Vadodara,Architect,BSc
2108,Male,20.0,Indore,Student,'Class 12'
2120,Female,18.0,Mumbai,Student,'Class 12'
2127,Female,20.0,Lucknow,Student,'Class 12'
2140,Male,24.0,Ahmedabad,Student,B.Ed
2143,Female,28.0,Lucknow,Student,MBA
2146,Female,19.0,Delhi,Student,'Class 12'
2147,Male,28.0,Nagpur,Student,B.Tech
2150,Male,28.0,Kalyan,Student,MBA
2161,Female,28.0,Srinagar,Student,B.Arch
2171,Female,19.0,Chennai,Student,'Class 12'
2182,Male,28.0,Srinagar,Student,MBBS
2183,Female,21.0,Varanasi,Student,M.Com
2198,Female,19.0,Srinagar,Student,'Class 12'
2203,Male,29.0,Kolkata,Student,BCA
2204,Male,32.0,Kanpur,Student,M.Tech
2207,Male,26.0,Kanpur,Student,'Class 12'
2211,Male,22.0,Srinagar,Student,BHM
2226,Female,24.0,Chennai,Student,M.Tech
2233,Male,28.0,Srinagar,Student,M.Tech
2238,Male,34.0,Hyderabad,Student,M.Ed
2250,Male,20.0,Srinagar,Student,'Class 12'
2255,Female,32.0,Lucknow,Student,LLB
2256,Female,20.0,Srinagar,Student,'Class 12'
2260,Male,18.0,Jaipur,Student,'Class 12'
2267,Female,25.0,Ghaziabad,Student,MSc
2270,Male,29.0,Visakhapatnam,Student,MSc
2288,Male,27.0,Nagpur,Student,BBA
2290,Female,34.0,Kalyan,Student,M.Com
2293,Male,32.0,Rajkot,Student,B.Arch
2294,Male,29.0,Faridabad,Student,MSc
2295,Female,23.0,Lucknow,Student,B.Com
2305,Female,27.0,Kolkata,Student,B.Com
2310,Female,29.0,Pune,Student,BCA
2312,Female,30.0,Mumbai,Student,'Class 12'
2314,Female,21.0,Nagpur,Student,M.Ed
2322,Female,32.0,Faridabad,Student,M.Ed
2325,Male,20.0,Bangalore,Student,'Class 12'
2330,Female,25.0,Ghaziabad,Student,PhD
2343,Male,31.0,Kalyan,Student,BA
2348,Male,20.0,Bhopal,Student,'Class 12'
2351,Female,23.0,Delhi,Student,B.Tech
2358,Male,31.0,Ghaziabad,Student,M.Pharm
2364,Female,34.0,Surat,Student,B.Ed
2372,Male,24.0,Faridabad,Student,'Class 12'
2376,Male,32.0,Thane,Student,LLM
2385,Male,30.0,Mumbai,Student,M.Com
2399,Female,18.0,Thane,Student,'Class 12'
2405,Male,33.0,Meerut,Student,M.Tech
2406,Male,34.0,Kolkata,Student,MSc
2407,Female,20.0,Hyderabad,Student,'Class 12'
2408,Female,22.0,Bangalore,Student,BE
2418,Male,34.0,Surat,Student,MSc
2423,Female,30.0,Chennai,Student,B.Com
2425,Male,19.0,Vadodara,Student,'Class 12'
2431,Female,19.0,Ludhiana,Student,'Class 12'
2432,Male,20.0,Mumbai,Student,'Class 12'
2439,Male,25.0,Hyderabad,Student,MD
2444,Female,30.0,Agra,Student,PhD
2460,Male,26.0,Jaipur,Student,B.Com
2461,Female,21.0,Vadodara,Student,B.Arch
2471,Female,28.0,Srinagar,Student,B.Tech
2474,Male,18.0,Ludhiana,Student,'Class 12'
2482,Male,24.0,Ghaziabad,Student,B.Com
2486,Male,29.0,Surat,Student,ME
2490,Male,28.0,Bhopal,Student,MBBS
2494,Male,31.0,Varanasi,Student,M.Ed
2496,Male,25.0,Kalyan,Student,B.Ed
2500,Male,28.0,Visakhapatnam,Student,MD
2548,Male,33.0,Meerut,Student,M.Tech
2564,Male,30.0,Bangalore,Student,BBA
2568,Female,28.0,Vasai-Virar,Student,M.Ed
2569,Male,20.0,Ahmedabad,Student,'Class 12'
2574,Female,18.0,Kanpur,Student,'Class 12'
2576,Female,29.0,Kolkata,Student,BCA
2581,Male,28.0,Hyderabad,Student,MBBS
2585,Female,24.0,Surat,Student,B.Arch
2589,Male,25.0,Mumbai,Student,MSc
2591,Male,21.0,Mumbai,Student,MCA
2592,Male,21.0,Visakhapatnam,Student,BCA
2605,Female,28.0,Lucknow,Student,BE
2608,Female,34.0,Lucknow,Student,BHM
2622,Female,29.0,Kalyan,Student,B.Ed
2629,Female,19.0,Bangalore,Student,'Class 12'
2633,Female,19.0,Thane,Student,'Class 12'
2652,Male,21.0,Indore,Student,BA
2654,Male,23.0,Kalyan,Student,MSc
2660,Female,25.0,Thane,Student,PhD
2663,Female,29.0,Visakhapatnam,Student,BCA
2672,Male,27.0,Patna,Student,B.Com
2674,Female,19.0,Chennai,Student,'Class 12'
2681,Male,26.0,Rajkot,Student,BBA
2685,Female,19.0,Vasai-Virar,Student,'Class 12'
2687,Female,22.0,Ghaziabad,Student,B.Tech
2689,Female,23.0,Jaipur,Student,B.Com
2695,Male,29.0,Jaipur,Student,B.Tech
2696,Male,21.0,Thane,Student,B.Com
2704,Male,24.0,Agra,Student,BSc
2710,Male,24.0,Lucknow,Student,M.Tech
2712,Male,32.0,Jaipur,Student,M.Tech
2721,Female,22.0,Vasai-Virar,Student,BA
2724,Male,23.0,Vasai-Virar,Student,M.Tech
2726,Female,33.0,Kanpur,Student,BHM
2743,Female,27.0,Ghaziabad,Student,LLB
2749,Female,26.0,Ludhiana,Student,MA
2754,Male,24.0,Hyderabad,Student,B.Ed
2755,Male,33.0,Kolkata,Student,BBA
2759,Male,33.0,Visakhapatnam,Student,BA
2766,Female,25.0,Faridabad,Student,B.Ed
2770,Female,27.0,Hyderabad,Student,B.Pharm
2772,Female,25.0,Chennai,Student,BHM
2774,Male,28.0,Jaipur,Student,B.Com
2777,Female,21.0,Vasai-Virar,Student,M.Tech
2779,Male,29.0,Ghaziabad,Student,B.Com
2780,Female,32.0,Nashik,Student,MBBS
2781,Male,34.0,Varanasi,Student,M.Ed
2789,Male,25.0,Mumbai,Student,B.Com
2793,Female,21.0,Bhopal,Student,B.Com
2797,Male,19.0,Rajkot,Student,'Class 12'
2798,Male,22.0,Ahmedabad,Student,BBA
2799,Male,33.0,Ludhiana,Student,B.Ed
2804,Female,19.0,Ghaziabad,Student,'Class 12'
2805,Male,21.0,Vasai-Virar,Student,B.Arch
2811,Male,20.0,Indore,Student,'Class 12'
2814,Female,20.0,Visakhapatnam,Student,'Class 12'
2815,Male,18.0,Surat,Student,'Class 12'
2816,Female,21.0,Thane,Student,BCA
2819,Male,21.0,Chennai,Student,MSc
2841,Female,21.0,Hyderabad,Student,MCA
2850,Male,29.0,Ghaziabad,Student,BCA
2854,Female,28.0,Ghaziabad,Student,B.Arch
2858,Male,33.0,Kanpur,Student,MBBS
2864,Male,24.0,Vasai-Virar,Student,B.Pharm
2867,Male,29.0,Bangalore,Student,M.Ed
2869,Male,32.0,Bhopal,Student,ME
2871,Male,32.0,Mumbai,Student,B.Pharm
2875,Male,26.0,Kalyan,Student,BA
2881,Female,23.0,Ludhiana,Student,B.Tech
2886,Female,29.0,Delhi,Student,LLM
2903,Male,27.0,Nashik,Student,PhD
2907,Male,31.0,Rajkot,Student,'Class 12'
2908,Female,32.0,Meerut,Student,B.Tech
2916,Female,31.0,Kalyan,Student,LLM
2918,Male,27.0,Faridabad,Student,B.Arch
2941,Female,21.0,Agra,Student,BCA
2945,Female,20.0,Kalyan,Student,'Class 12'
2951,Female,25.0,Kalyan,Student,BCA
2962,Female,31.0,Delhi,Student,LLB
2968,Female,24.0,Vadodara,Student,MBBS
2970,Female,18.0,Kalyan,Student,'Class 12'
2974,Male,33.0,Agra,Student,MSc
2977,Male,25.0,Ludhiana,Student,B.Com
2978,Male,26.0,Kalyan,Student,BBA
2980,Female,29.0,Bhopal,Student,M.Ed
2981,Female,21.0,Thane,Student,BA
2982,Female,18.0,Lucknow,Student,'Class 12'
2999,Male,18.0,Ludhiana,Student,'Class 12'
3016,Male,18.0,Meerut,Student,'Class 12'
3024,Male,31.0,Visakhapatnam,Student,M.Tech
3033,Male,31.0,Vasai-Virar,Student,LLB
3034,Female,21.0,Srinagar,Student,BA
